No,Nama Produk,Merek,Kategori,Harga (Rp)
1,Head Unit Kenwood KMM-205 Single DIN,Kenwood,Head Unit Single DIN,1350000
2,Head Unit Kenwood KDC-BT450U Single DIN,Kenwood,Head Unit Single DIN,1650000
3,Head Unit Kenwood DMX4707S Double DIN 6.8 inch,Kenwood,Head Unit Double DIN,4200000
4,Head Unit Kenwood DMX7522S Double DIN 6.8 inch,Kenwood,Head Unit Double DIN,5575000
5,Head Unit Android Kenwood 9 inch 4/64GB,Kenwood,Head Unit Android,3200000
6,Head Unit Android Kenwood 10 inch 6/128GB,Kenwood,Head Unit Android,4500000
7,Amplifier 4 Channel Kenwood KAC-M3004,Kenwood,Amplifier,1900000
8,Amplifier 4 Channel Kenwood KAC-M5004,Kenwood,Amplifier,2800000
9,Speaker Coaxial Kenwood KFC-S1366 5.25 inch,Kenwood,Speaker Coaxial,550000
10,Speaker Component Kenwood KFC-XS1704 6.5 inch,Kenwood,Speaker Component,1800000
11,Subwoofer Aktif Kenwood KSC-SW11 Kolong,Kenwood,Subwoofer,2500000
12,Tweeter Kenwood KFC-ST1 1 inch,Kenwood,Tweeter,900000
13,Head Unit Pioneer DEH-S5250BT Single DIN,Pioneer,Head Unit Single DIN,1650000
14,Head Unit Pioneer DMH-G225BT Double DIN 6.2 inch,Pioneer,Head Unit Double DIN,2050000
15,Head Unit Pioneer DMH-Z5350BT Double DIN 6.8 inch,Pioneer,Head Unit Double DIN,6350000
16,Head Unit Pioneer DMH-ZF9350BT Double DIN 9 inch,Pioneer,Head Unit Double DIN,7900000
17,Head Unit Pioneer DMH-AP6650BT Double DIN 9 inch,Pioneer,Head Unit Double DIN,6150000
18,Head Unit Pioneer AVH-Z5250BT Double DIN 7 inch,Pioneer,Head Unit Double DIN,3800000
19,Speaker Coaxial Pioneer TS-A1670F 6.5 inch 3-Way,Pioneer,Speaker Coaxial,850000
20,Speaker Coaxial Pioneer TS-A1370F 5.25 inch 3-Way,Pioneer,Speaker Coaxial,750000
21,Speaker Component Pioneer TS-Z170C 6.5 inch 2-Way,Pioneer,Speaker Component,2800000
